[GIN] 2021/06/09 - 09:46:36 | 200 |        98.5µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:46:36 | 404 |       165.8µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:46:36 | 404 |        84.7µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:46:36 | 404 |        51.5µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:46:36 | 404 |        52.4µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:46:42 | 200 |        55.9µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:46:42 | 404 |        67.1µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:46:42 | 404 |          50µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:46:42 | 404 |       121.5µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:46:42 | 404 |        35.1µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:46:42 | 404 |        54.7µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:47:06 | 200 |        51.9µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:47:06 | 404 |        54.5µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:47:06 | 404 |        64.5µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:47:06 | 404 |        75.4µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:47:06 | 404 |        68.1µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:47:06 | 404 |        66.1µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:47:08 | 200 |          42µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:47:08 | 404 |       112.2µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:47:08 | 404 |          94µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:47:08 | 404 |        98.7µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:47:08 | 404 |       122.9µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:47:08 | 404 |        98.4µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:48:24 | 200 |          49µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:48:24 | 404 |          57µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:48:24 | 404 |        49.1µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:48:24 | 404 |        72.2µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:48:24 | 404 |       134.8µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:48:24 | 404 |        86.6µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:51:36 | 200 |        60.6µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:51:36 | 404 |        72.2µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:51:36 | 404 |        58.8µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:51:36 | 404 |        63.6µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:51:36 | 404 |        73.3µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:51:36 | 404 |        50.7µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:53:20 | 200 |        49.3µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:53:20 | 404 |        98.6µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:53:20 | 404 |       112.6µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:53:20 | 404 |          76µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:53:20 | 404 |        69.6µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:53:20 | 404 |        67.2µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:54:34 | 200 |        29.6µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:54:34 | 404 |          70µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:54:34 | 404 |        68.3µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:54:34 | 404 |        78.2µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:54:34 | 404 |        99.7µs |      172.18.0.1 | GET      "/js/chunk-vendors.174e1be8.js"
[GIN] 2021/06/09 - 09:54:34 | 404 |        74.5µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
[GIN] 2021/06/09 - 09:57:44 | 404 |        60.8µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:59:01 | 200 |        36.9µs |      172.18.0.1 | GET      "/"
[GIN] 2021/06/09 - 09:59:01 | 404 |        78.1µs |      172.18.0.1 | GET      "/css/app.839f35b3.css"
[GIN] 2021/06/09 - 09:59:01 | 404 |        47.8µs |      172.18.0.1 | GET      "/css/chunk-vendors.e35ad216.css"
[GIN] 2021/06/09 - 09:59:01 | 404 |        75.1µs |      172.18.0.1 | GET      "/js/app.9ee23089.js"
